"Suite","Sub-Suite","Paradigm","Task","Instance","Color-Variant","Agent-Rotation-Variant","Occluder-Variant","Extension"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","Beige","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","Brown","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","DarkBlue","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","DarkGreen","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","Grey","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","OffWhite","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseLeft","RND","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","Beige","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","Brown","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","DarkBlue","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","DarkGreen","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","Grey","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","OffWhite","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","CloseRight","RND","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","FarLeft","Beige","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","FarLeft","Brown","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","FarLeft","DarkBlue","0","OPQ",".yml"
"Cohesion","Contour-Disruption","Fence","SpSqGDecoyBDiff0.5","FarLeft","DarkGreen","0","OPQ",".yml"
